object_id,entity_kind,preferred_label,description,lifecycle_state,instance_of,subclass_of,disambiguation,content_type,catalog_source,taxon,work_kind,qids
3733865,event,Apollo 11,first Moon landing and fifth crewed flight of the United States Apollo program,active,"[""Q752783""]",[],,,,,,"[""Q43653""]"
3733873,artifact,Browser audit Family Table 84,A fictional artwork used for the issue 84 browser walkthrough.,active,[],[],,,,,,[]
3733876,artifact,Issue 84 CHANGED reviewed artwork,The displayed description changed after acceptance,active,[],[],,,,,,[]
3733878,artifact,Issue 84 split artwork,,split,[],[],,,,,,[]
3733879,artifact,Issue 84 artwork choice A,,active,[],[],,,,,,[]
3733880,artifact,Issue 84 artwork choice B,,active,[],[],,,,,,[]
3733888,artifact,Issue 84 browser walkthrough artwork,Browser-created artifact for issue 84 end-to-end verification.,active,[],[],,,,,,[]
3734402,work,Mona Lisa,,active,[],[],,artwork,wikidata,,artwork,"[""Q2126369""]"
3737584,work,Love,,active,[],[],,text,poetrydb,,poem,[]
3739174,work,Love,,active,[],[],,text,poetrydb,,poem,[]
3740879,work,The Devil's Dictionary,,active,[],[],,text,open-library,,book,"[""Q1147121""]"
